gene_id	chr	gene_name	length	type
ENSG00000212184.1	chr2	RNU6-440P	105	snRNA
ENSG00000221489.1	chr2	AC007358.1	80	miRNA
ENSG00000273209.1	chr2	RP11-107N15.1	768	lincRNA
ENSG00000155760.2	chr2	FZD7	3859	protein_coding
ENSG00000182329.9	chr2	KIAA2012	7612	protein_coding
ENSG00000222035.3	chr2	AC079354.3	3093	antisense
ENSG00000274633.1	chr2	AC079354.1	94	miRNA
ENSG00000231903.1	chr2	AC079354.5	311	antisense
ENSG00000227890.1	chr2	PSMA2P3	675	processed_pseudogene
ENSG00000223825.5	chr2	DAZAP2P1	503	processed_pseudogene
ENSG00000116030.15	chr2	SUMO1	2164	protein_coding
ENSG00000224463.1	chr2	AC079354.6	154	processed_pseudogene
ENSG00000055044.9	chr2	NOP58	3299	protein_coding
ENSG00000212534.1	chr2	SNORD70	88	snoRNA
ENSG00000212309.1	chr2	SNORD70	85	snoRNA
ENSG00000271852.1	chr2	SNORD11B	90	snoRNA
ENSG00000238317.2	chr2	SNORD11	84	snoRNA
ENSG00000264275.1	chr2	RN7SL753P	290	misc_RNA
ENSG00000281619.1	chr2	AC064836.1	83	miRNA
ENSG00000226261.1	chr2	AC064836.3	704	processed_pseudogene
ENSG00000272966.1	chr2	RP11-686O6.1	462	lincRNA
ENSG00000242696.3	chr2	RN7SL40P	342	misc_RNA
ENSG00000273456.1	chr2	RP11-686O6.2	673	lincRNA
ENSG00000204217.11	chr2	BMPR2	11893	protein_coding
ENSG00000270915.1	chr2	RP11-27M5.1	332	processed_pseudogene
ENSG00000236047.1	chr2	AC073410.1	589	processed_pseudogene
ENSG00000223619.1	chr2	AC009960.1	491	unprocessed_pseudogene
ENSG00000233888.2	chr2	AC009960.2	677	unprocessed_pseudogene
ENSG00000235433.1	chr2	AC009960.4	672	unprocessed_pseudogene
ENSG00000237542.1	chr2	AC009960.5	513	unprocessed_pseudogene
ENSG00000233134.1	chr2	AC009960.7	344	unprocessed_pseudogene
ENSG00000241221.2	chr2	AC009960.6	293	unprocessed_pseudogene
ENSG00000227454.2	chr2	MTND4P30	899	unprocessed_pseudogene
ENSG00000233311.1	chr2	AC009960.3	712	processed_pseudogene
ENSG00000138439.11	chr2	FAM117B	5986	protein_coding
ENSG00000163596.15	chr2	ICA1L	10598	protein_coding
ENSG00000240761.1	chr2	AC098831.4	552	processed_pseudogene
ENSG00000233579.1	chr2	KRT8P15	1451	processed_pseudogene
ENSG00000281423.1	chr2	AC010900.1	134	miRNA
ENSG00000138442.8	chr2	WDR12	9098	protein_coding
ENSG00000138380.16	chr2	CARF	8636	protein_coding
ENSG00000232479.2	chr2	AC010900.2	1296	processed_pseudogene
ENSG00000270664.1	chr2	RP11-544H14.1	210	processed_pseudogene
ENSG00000144426.17	chr2	NBEAL1	16376	protein_coding
ENSG00000232994.1	chr2	RPL7P14	741	processed_pseudogene
ENSG00000202059.1	chr2	SNORA1	134	snoRNA
ENSG00000228513.1	chr2	AC023271.1	1090	processed_pseudogene
ENSG00000225124.1	chr2	AC023271.2	458	processed_pseudogene
ENSG00000204196.5	chr2	AC011737.2	498	processed_pseudogene
ENSG00000119004.13	chr2	CYP20A1	10961	protein_coding
ENSG00000264041.2	chr2	RN7SL670P	294	misc_RNA
ENSG00000238285.1	chr2	MRPL50P2	482	processed_pseudogene
ENSG00000138443.14	chr2	ABI2	23331	protein_coding
ENSG00000256458.1	chr2	RP11-363J17.1	427	antisense
ENSG00000173166.16	chr2	RAPH1	11697	protein_coding
ENSG00000233459.1	chr2	AC125238.2	1440	processed_pseudogene
ENSG00000233031.1	chr2	AC125238.3	249	processed_pseudogene
ENSG00000178562.16	chr2	CD28	4885	protein_coding
ENSG00000224791.1	chr2	KRT18P39	1299	processed_pseudogene
ENSG00000211573.2	chr2	AC125238.1	92	miRNA
ENSG00000213925.3	chr2	NPM1P33	872	processed_pseudogene
ENSG00000206970.1	chr2	RNU6-474P	107	snRNA
ENSG00000163599.13	chr2	CTLA4	2120	protein_coding
ENSG00000163600.11	chr2	ICOS	2645	protein_coding
ENSG00000235951.1	chr2	AC009965.1	970	processed_pseudogene
ENSG00000234714.1	chr2	AC009965.2	570	lincRNA
ENSG00000237271.1	chr2	AC009498.1	541	lincRNA
ENSG00000236681.1	chr2	DSTNP5	523	processed_pseudogene
ENSG00000225304.1	chr2	AC106901.1	698	processed_pseudogene
ENSG00000236634.1	chr2	AC016903.1	588	lincRNA
ENSG00000237843.1	chr2	AC016903.2	326	lincRNA
ENSG00000116117.16	chr2	PARD3B	10382	protein_coding
ENSG00000223890.1	chr2	AC008171.1	200	processed_pseudogene
ENSG00000118257.15	chr2	NRP2	13896	protein_coding
ENSG00000225216.5	chr2	AC007362.3	1623	antisense
ENSG00000201875.1	chr2	RN7SKP178	329	misc_RNA
ENSG00000213739.3	chr2	AC007679.1	502	processed_pseudogene
ENSG00000225610.1	chr2	AC007679.3	781	antisense
ENSG00000114933.14	chr2	INO80D	14373	protein_coding
ENSG00000252485.1	chr2	Vault	95	misc_RNA
ENSG00000207386.1	chr2	Y_RNA	105	misc_RNA
ENSG00000237041.1	chr2	AC007679.4	414	processed_pseudogene
ENSG00000227946.1	chr2	AC007383.3	1034	lincRNA
ENSG00000023228.12	chr2	NDUFS1	12268	protein_coding
ENSG00000231955.1	chr2	AC007383.4	1411	antisense
ENSG00000237580.1	chr2	GCSHP3	391	processed_pseudogene
ENSG00000114942.12	chr2	EEF1B2	1915	protein_coding
ENSG00000277502.1	chr2	uc_338	182	misc_RNA
ENSG00000281780.1	chr2	snoZ196	89	snoRNA
ENSG00000207047.2	chr2	SNORD51	80	snoRNA
ENSG00000207406.1	chr2	SNORA41	132	snoRNA
ENSG00000183671.11	chr2	GPR1	2834	protein_coding
ENSG00000279220.1	chr2	GPR1-AS	4129	processed_transcript
ENSG00000222496.1	chr2	RN7SKP200	320	misc_RNA
ENSG00000159186.4	chr2	AC007383.6	636	processed_pseudogene
ENSG00000224070.1	chr2	HMGN1P6	291	processed_pseudogene
ENSG00000252716.1	chr2	RN7SKP260	149	misc_RNA
ENSG00000204186.6	chr2	ZDBF2	10340	protein_coding
ENSG00000279921.1	chr2	AC017081.1	381	protein_coding
ENSG00000180105.11	chr2	AC017081.2	823	processed_pseudogene
ENSG00000234491.1	chr2	HNRNPA1P51	947	processed_pseudogene
ENSG00000114948.11	chr2	ADAM23	6421	protein_coding
ENSG00000228577.1	chr2	AC010731.2	440	antisense
ENSG00000231653.1	chr2	AC010731.3	566	antisense
ENSG00000235118.6	chr2	AC010731.4	1403	lincRNA
ENSG00000232125.2	chr2	DYTN	2140	protein_coding
ENSG00000213083.3	chr2	AC010731.6	846	processed_pseudogene
ENSG00000207319.1	chr2	Y_RNA	121	misc_RNA
ENSG00000138400.11	chr2	MDH1B	3110	protein_coding
ENSG00000118246.12	chr2	FASTKD2	6079	protein_coding
ENSG00000263468.1	chr2	MIR3130-1	75	miRNA
ENSG00000260171.1	chr2	RP11-95H11.1	1105	lincRNA
ENSG00000229321.1	chr2	AC008269.2	646	lincRNA
ENSG00000144410.4	chr2	CPO	1209	protein_coding
ENSG00000118263.13	chr2	KLF7	9262	protein_coding
ENSG00000253008.2	chr2	MIR2355	87	miRNA
ENSG00000237892.1	chr2	KLF7-IT1	655	sense_intronic
ENSG00000277590.1	chr2	MIR7845	99	miRNA
ENSG00000224342.1	chr2	AC007879.1	554	lincRNA
ENSG00000234902.5	chr2	AC007879.2	1095	lincRNA
ENSG00000225916.1	chr2	AC007879.4	551	lincRNA
ENSG00000240440.1	chr2	AC007879.3	361	lincRNA
ENSG00000229647.1	chr2	AC007879.7	1204	lincRNA
ENSG00000223725.5	chr2	AC007879.5	1284	antisense
ENSG00000225064.1	chr2	AC007879.6	523	lincRNA
ENSG00000221628.1	chr2	MIR1302-4	150	miRNA
ENSG00000118260.13	chr2	CREB1	9575	protein_coding
ENSG00000144401.13	chr2	METTL21A	6798	protein_coding
ENSG00000223433.1	chr2	AC079767.3	171	processed_pseudogene
ENSG00000224137.1	chr2	AC079767.4	492	lincRNA
ENSG00000199251.1	chr2	RNU6-664P	107	snRNA
ENSG00000213082.3	chr2	PPP1R14BP2	444	processed_pseudogene
ENSG00000200764.1	chr2	Y_RNA	100	misc_RNA
ENSG00000163249.8	chr2	CCNYL1	4707	protein_coding
ENSG00000272851.1	chr2	RP11-801F7.1	564	antisense
ENSG00000264900.1	chr2	MIR4775	75	miRNA
ENSG00000163251.3	chr2	FZD5	6708	protein_coding
ENSG00000244567.1	chr2	AC096772.6	1262	lincRNA
ENSG00000178385.12	chr2	PLEKHM3	4656	protein_coding
ENSG00000225111.1	chr2	AC083900.1	469	sense_intronic
ENSG00000212246.1	chr2	RNU6-360P	104	snRNA
ENSG00000185078.3	chr2	AC093698.1	571	processed_pseudogene
ENSG00000251941.1	chr2	RNA5SP116	98	rRNA
ENSG00000224839.1	chr2	AC093698.2	498	processed_pseudogene
ENSG00000229150.1	chr2	CRYGEP	528	transcribed_unprocessed_pseudogene
ENSG00000118231.4	chr2	CRYGD	619	protein_coding
ENSG00000163254.4	chr2	CRYGC	629	protein_coding
ENSG00000224529.1	chr2	AC093698.4	1078	processed_pseudogene
ENSG00000182187.3	chr2	CRYGB	641	protein_coding
ENSG00000168582.4	chr2	CRYGA	609	protein_coding
ENSG00000188674.9	chr2	C2orf80	1435	protein_coding
ENSG00000233869.1	chr2	AC016697.1	850	processed_pseudogene
ENSG00000228111.1	chr2	TPT1P2	503	processed_pseudogene
ENSG00000138413.12	chr2	IDH1	4721	protein_coding
ENSG00000231908.1	chr2	IDH1-AS1	655	antisense
ENSG00000115020.15	chr2	PIKFYVE	10832	protein_coding
ENSG00000228380.1	chr2	AC016697.2	615	processed_pseudogene
ENSG00000144407.8	chr2	PTH2R	4390	protein_coding
ENSG00000213081.3	chr2	AC012362.3	739	processed_pseudogene
ENSG00000227430.1	chr2	AC019185.2	389	processed_pseudogene
ENSG00000231896.1	chr2	AC019185.4	520	sense_intronic
ENSG00000232409.1	chr2	AC019185.3	323	processed_pseudogene
ENSG00000202164.1	chr2	RNA5SP117	118	rRNA
ENSG00000235864.1	chr2	HSPA8P6	1552	processed_pseudogene
ENSG00000276773.1	chr2	AC013409.1	89	miRNA
ENSG00000232799.1	chr2	CRYGFP	633	unprocessed_pseudogene
ENSG00000240286.1	chr2	MEAF6P1	327	processed_pseudogene
ENSG00000229670.2	chr2	PKP4P1	2158	unprocessed_pseudogene
ENSG00000276683.1	chr2	AC016743.1	68	miRNA
ENSG00000078018.18	chr2	MAP2	11559	protein_coding
ENSG00000222317.1	chr2	RNA5SP118	109	rRNA
ENSG00000144406.17	chr2	UNC80	19258	protein_coding
ENSG00000237194.1	chr2	SNAI1P1	777	processed_pseudogene
ENSG00000197713.13	chr2	RPE	3522	protein_coding
ENSG00000144445.14	chr2	KANSL1L	8468	protein_coding
ENSG00000272807.1	chr2	RP11-260M2.1	740	antisense
ENSG00000229127.1	chr2	AC007038.7	2199	antisense
ENSG00000231063.1	chr2	AC006994.1	839	processed_pseudogene
ENSG00000231294.1	chr2	AC006994.2	506	antisense
ENSG00000115361.6	chr2	ACADL	4383	protein_coding
ENSG00000279317.1	chr2	AC006994.3	1285	protein_coding
ENSG00000199203.1	chr2	Y_RNA	112	misc_RNA
ENSG00000168530.14	chr2	MYL1	1342	protein_coding
ENSG00000234281.4	chr2	LANCL1-AS1	1667	antisense
ENSG00000115365.10	chr2	LANCL1	5254	protein_coding
ENSG00000021826.13	chr2	CPS1	10444	protein_coding
ENSG00000280837.1	chr2	CPS1-IT1	2306	sense_intronic
ENSG00000271074.1	chr2	RP11-212J19.1	799	processed_pseudogene
ENSG00000231017.1	chr2	AC013404.1	249	processed_pseudogene
ENSG00000178568.12	chr2	ERBB4	13023	protein_coding
ENSG00000199585.1	chr2	RNA5SP119	117	rRNA
ENSG00000232631.1	chr2	MTND2P23	651	processed_pseudogene
ENSG00000277155.1	chr2	AC105921.1	66	miRNA
ENSG00000236007.1	chr2	AC105921.5	1491	processed_pseudogene
ENSG00000221782.1	chr2	MIR548F2	98	miRNA
ENSG00000273118.1	chr2	AC079610.1	433	sense_overlapping
ENSG00000221388.1	chr2	AC093865.1	106	miRNA
ENSG00000234308.2	chr2	AC093381.2	1124	lincRNA
ENSG00000231254.2	chr2	PCED1CP	785	processed_pseudogene
ENSG00000223373.1	chr2	AC108066.1	596	lincRNA
ENSG00000266354.1	chr2	MIR4776-1	80	miRNA
ENSG00000030419.15	chr2	IKZF2	12240	protein_coding
ENSG00000270659.1	chr2	RP11-105N14.1	690	lincRNA
ENSG00000236193.3	chr2	RP11-105N14.3	717	lincRNA
ENSG00000272519.1	chr2	RP11-105N14.2	147	lincRNA
ENSG00000196096.3	chr2	AC079610.2	1727	lincRNA
ENSG00000144451.17	chr2	SPAG16	8257	protein_coding
ENSG00000265734.1	chr2	MIR4438	93	miRNA
ENSG00000275977.1	chr2	AC008169.1	106	miRNA
ENSG00000197585.8	chr2	AC107218.3	727	antisense
ENSG00000213917.2	chr2	RPL5P8	815	processed_pseudogene
ENSG00000174453.8	chr2	VWC2L	5230	protein_coding
ENSG00000224257.1	chr2	VWC2L-IT1	467	sense_intronic
ENSG00000177261.8	chr2	ENSAP3	333	processed_pseudogene
ENSG00000138376.9	chr2	BARD1	6067	protein_coding
ENSG00000229267.2	chr2	AC072062.1	2108	antisense
ENSG00000207274.1	chr2	SNORA70	135	snoRNA
ENSG00000230076.1	chr2	AC016708.2	318	processed_pseudogene
ENSG00000144452.13	chr2	ABCA12	9416	protein_coding
ENSG00000227769.6	chr2	AC072062.3	3813	antisense
ENSG00000237571.1	chr2	AC073284.4	404	lincRNA
ENSG00000138363.13	chr2	ATIC	3928	protein_coding
ENSG00000115414.17	chr2	FN1	17315	protein_coding
ENSG00000230695.1	chr2	AC012462.1	131	antisense
ENSG00000225166.1	chr2	AC012462.2	825	lincRNA
ENSG00000228618.1	chr2	AC012462.3	391	lincRNA
ENSG00000234938.2	chr2	AC012668.1	503	lincRNA
ENSG00000237525.5	chr2	AC012668.2	2028	lincRNA
ENSG00000227981.2	chr2	AC012668.3	228	lincRNA
ENSG00000235770.4	chr2	LINC00607	5628	lincRNA
ENSG00000230838.1	chr2	AC093850.2	648	lincRNA
ENSG00000216721.3	chr2	AC093850.1	251	processed_pseudogene
ENSG00000227824.1	chr2	AC122136.2	478	lincRNA
ENSG00000212055.1	chr2	AC122136.1	87	miRNA
ENSG00000226276.1	chr2	AC093382.1	379	lincRNA
ENSG00000118242.14	chr2	MREG	3056	protein_coding
ENSG00000115425.12	chr2	PECR	3182	protein_coding
ENSG00000163449.9	chr2	TMEM169	3628	protein_coding
ENSG00000079246.14	chr2	XRCC5	5463	protein_coding
ENSG00000232970.1	chr2	POLHP1	470	processed_pseudogene
ENSG00000236478.2	chr2	AC012513.4	1137	processed_pseudogene
ENSG00000279348.1	chr2	RP11-566E18.1	2116	TEC
ENSG00000260804.3	chr2	PKI55	3148	lincRNA
ENSG00000144583.4	chr2	MARCH4	4447	protein_coding
ENSG00000231092.1	chr2	AC012513.6	784	antisense
ENSG00000233581.1	chr2	AC069155.1	575	antisense
ENSG00000207303.1	chr2	Y_RNA	102	misc_RNA
ENSG00000235042.1	chr2	AC098820.2	666	antisense
ENSG00000138375.11	chr2	SMARCAL1	5092	protein_coding
ENSG00000232485.2	chr2	AC098820.3	1435	processed_transcript
ENSG00000241520.1	chr2	AC098820.4	976	antisense
ENSG00000197756.8	chr2	RPL37A	6841	protein_coding
ENSG00000224391.1	chr2	LINC01280	1184	antisense
ENSG00000225794.1	chr2	AC073321.4	654	lincRNA
ENSG00000235444.2	chr2	PSMB3P2	618	processed_pseudogene
ENSG00000115457.8	chr2	IGFBP2	4767	protein_coding
ENSG00000115461.4	chr2	IGFBP5	6442	protein_coding
ENSG00000236886.2	chr2	AC007563.5	904	antisense
ENSG00000237930.1	chr2	AC007563.4	371	processed_pseudogene
ENSG00000222832.1	chr2	RNA5SP120	112	rRNA
ENSG00000229352.1	chr2	AC007563.3	689	lincRNA
ENSG00000234588.1	chr2	FABP5P14	393	processed_pseudogene
ENSG00000231597.1	chr2	AC007557.4	583	antisense
ENSG00000118245.2	chr2	TNP1	407	protein_coding
ENSG00000278951.1	chr2	AC007557.5	78	protein_coding
ENSG00000237479.1	chr2	AC007557.2	430	antisense
ENSG00000227021.1	chr2	AC007557.3	541	lincRNA
ENSG00000236295.1	chr2	AC007563.1	3135	lincRNA
ENSG00000223874.1	chr2	AC007557.1	393	lincRNA
ENSG00000259855.1	chr2	RP11-574O16.1	585	lincRNA
ENSG00000251849.1	chr2	AC010887.1	85	miRNA
ENSG00000251982.1	chr2	RN7SKP43	320	misc_RNA
ENSG00000233143.1	chr2	DIRC3-AS1	557	lincRNA
ENSG00000278004.1	chr2	Pinc	154	misc_RNA
ENSG00000231672.5	chr2	DIRC3	4665	protein_coding
ENSG00000224414.1	chr2	AC010886.2	2869	processed_pseudogene
ENSG00000231035.1	chr2	RPL7L1P9	745	processed_pseudogene
ENSG00000079308.15	chr2	TNS1	15595	protein_coding
ENSG00000275458.1	chr2	MIR6809	116	miRNA
ENSG00000223923.1	chr2	AC010136.2	568	antisense
ENSG00000188282.11	chr2	RUFY4	4357	protein_coding
ENSG00000229754.1	chr2	CXCR2P1	2503	transcribed_unprocessed_pseudogene
ENSG00000180871.6	chr2	CXCR2	3231	protein_coding
ENSG00000163464.7	chr2	CXCR1	2488	protein_coding
ENSG00000277115.1	chr2	AC097483.1	68	miRNA
ENSG00000224159.1	chr2	HMGB1P9	646	processed_pseudogene
ENSG00000163466.14	chr2	ARPC2	6562	protein_coding
ENSG00000261338.2	chr2	RP11-378A13.1	2048	sense_overlapping
ENSG00000179921.13	chr2	GPBAR1	2692	protein_coding
ENSG00000127837.8	chr2	AAMP	3140	protein_coding
ENSG00000127838.12	chr2	PNKD	5184	protein_coding
ENSG00000135926.11	chr2	TMBIM1	5098	protein_coding
ENSG00000274203.1	chr2	MIR6513	64	miRNA
ENSG00000237281.1	chr2	CATIP-AS2	535	antisense
ENSG00000278524.1	chr2	MIR6810	70	miRNA
ENSG00000230580.1	chr2	AC021016.7	498	processed_pseudogene
ENSG00000158428.3	chr2	CATIP	3821	protein_coding
ENSG00000225062.1	chr2	CATIP-AS1	775	processed_transcript
ENSG00000018280.15	chr2	SLC11A1	8676	protein_coding
ENSG00000144579.6	chr2	CTDSP1	4727	protein_coding
ENSG00000273361.1	chr2	RP11-378A13.2	477	antisense
ENSG00000199121.3	chr2	MIR26B	110	miRNA
ENSG00000127831.9	chr2	VIL1	6920	protein_coding
ENSG00000135913.9	chr2	USP37	9290	protein_coding
ENSG00000222714.1	chr2	RN7SKP38	309	misc_RNA
ENSG00000144580.12	chr2	RQCD1	5289	protein_coding
ENSG00000207393.1	chr2	RNU6-136P	107	snRNA
ENSG00000115556.12	chr2	PLCD4	5867	protein_coding
ENSG00000273466.1	chr2	RP11-548H3.1	759	antisense
ENSG00000115568.14	chr2	ZNF142	6994	protein_coding
ENSG00000074582.11	chr2	BCS1L	3379	protein_coding
ENSG00000163481.6	chr2	RNF25	2323	protein_coding
ENSG00000163482.10	chr2	STK36	6458	protein_coding
ENSG00000135912.9	chr2	TTLL4	7685	protein_coding
ENSG00000135929.7	chr2	CYP27A1	2983	protein_coding
ENSG00000272555.1	chr2	RP11-459I19.1	455	lincRNA
ENSG00000115592.10	chr2	PRKAG3	3334	protein_coding
ENSG00000232625.1	chr2	AC009974.11	467	processed_pseudogene
ENSG00000115596.3	chr2	WNT6	1703	protein_coding
ENSG00000135925.7	chr2	WNT10A	3412	protein_coding
ENSG00000228135.1	chr2	LINC01494	1011	antisense
ENSG00000200029.1	chr2	RNU6-642P	104	snRNA
ENSG00000235024.1	chr2	AC097468.7	553	antisense
ENSG00000224928.2	chr2	KRT8P30	650	processed_pseudogene
ENSG00000171450.5	chr2	CDK5R2	2508	protein_coding
ENSG00000236445.4	chr2	LINC00608	4023	antisense
ENSG00000163497.2	chr2	FEV	2049	protein_coding
ENSG00000163499.10	chr2	CRYBA2	1454	protein_coding
ENSG00000198973.3	chr2	MIR375	112	miRNA
ENSG00000224090.1	chr2	AC097468.4	1992	antisense
ENSG00000181378.12	chr2	CCDC108	10519	protein_coding
ENSG00000163501.6	chr2	IHH	2023	protein_coding
ENSG00000264755.1	chr2	MIR3131	63	miRNA
ENSG00000272644.1	chr2	RP11-33O4.1	456	lincRNA
ENSG00000187736.11	chr2	NHEJ1	3109	protein_coding
ENSG00000280537.1	chr2	RP11-33O4.2	4650	protein_coding
ENSG00000240317.3	chr2	RN7SL764P	286	misc_RNA
ENSG00000213901.9	chr2	SLC23A3	3601	protein_coding
ENSG00000115649.14	chr2	CNPPD1	2760	protein_coding
ENSG00000144567.9	chr2	FAM134A	5689	protein_coding
ENSG00000158552.11	chr2	ZFAND2B	3396	protein_coding
ENSG00000115657.11	chr2	ABCB6	5205	protein_coding
ENSG00000198925.9	chr2	ATG9A	8136	protein_coding
ENSG00000221344.1	chr2	AC068946.1	83	miRNA
ENSG00000163516.12	chr2	ANKZF1	6119	protein_coding
ENSG00000163521.14	chr2	GLB1L	3411	protein_coding
ENSG00000115661.12	chr2	STK16	4368	protein_coding
ENSG00000127824.12	chr2	TUBA4A	4079	protein_coding
ENSG00000243910.6	chr2	TUBA4B	1918	transcribed_unprocessed_pseudogene
ENSG00000135924.14	chr2	DNAJB2	5886	protein_coding
ENSG00000054356.12	chr2	PTPRN	8261	protein_coding
ENSG00000207647.1	chr2	MIR153-1	90	miRNA
ENSG00000230432.1	chr2	AC114803.3	311	antisense
ENSG00000182698.10	chr2	RESP18	1140	protein_coding
ENSG00000232789.1	chr2	AC053503.2	114	unprocessed_pseudogene
ENSG00000123992.17	chr2	DNPEP	4734	protein_coding
ENSG00000229525.1	chr2	AC053503.4	1598	antisense
ENSG00000175084.10	chr2	DES	2464	protein_coding
ENSG00000234638.1	chr2	AC053503.6	224	antisense
ENSG00000280323.1	chr2	AC053503.12	1843	TEC
ENSG00000072195.13	chr2	SPEG	17910	protein_coding
ENSG00000227432.1	chr2	AC053503.11	519	antisense
ENSG00000268603.1	chr2	RP11-316O14.1	636	antisense
ENSG00000144591.16	chr2	GMPPA	5331	protein_coding
ENSG00000072182.11	chr2	ASIC4	5250	protein_coding
ENSG00000123989.12	chr2	CHPF	3354	protein_coding
ENSG00000188760.9	chr2	TMEM198	2578	protein_coding
ENSG00000268896.1	chr2	RP11-256I23.1	448	antisense
ENSG00000265252.1	chr2	MIR3132	75	miRNA
ENSG00000124006.13	chr2	OBSL1	9611	protein_coding
ENSG00000269068.1	chr2	RP11-256I23.2	544	antisense
ENSG00000123999.4	chr2	INHA	1753	protein_coding
ENSG00000222678.1	chr2	RN7SKP213	298	misc_RNA
ENSG00000144589.19	chr2	STK11IP	5694	protein_coding
ENSG00000228973.1	chr2	AC009955.8	271	antisense
ENSG00000114923.15	chr2	SLC4A3	5091	protein_coding
ENSG00000267919.1	chr2	RP11-256I23.3	542	lincRNA
ENSG00000231802.1	chr2	AC009502.1	766	processed_pseudogene
ENSG00000227308.2	chr2	AC009502.4	2951	lincRNA
ENSG00000223903.1	chr2	RPL23P4	416	processed_pseudogene
ENSG00000228909.1	chr2	AC008281.1	613	lincRNA
ENSG00000266518.1	chr2	MIR4268	64	miRNA
ENSG00000225911.1	chr2	AC009310.1	451	processed_pseudogene
ENSG00000239498.1	chr2	AC114765.1	754	lincRNA
ENSG00000235337.1	chr2	AC114765.2	347	lincRNA
ENSG00000221199.1	chr2	AC114765.3	79	miRNA
ENSG00000236451.2	chr2	AC067956.1	2062	lincRNA
ENSG00000222096.1	chr2	AC019051.1	110	miRNA
ENSG00000224819.1	chr2	AC093843.1	512	lincRNA
ENSG00000281701.1	chr2	AC093160.1	76	miRNA
ENSG00000232089.1	chr2	AC011233.2	283	processed_pseudogene
ENSG00000116106.10	chr2	EPHA4	7554	protein_coding
ENSG00000221432.1	chr2	AC079834.2	94	miRNA
ENSG00000226726.1	chr2	TMEM256P2	341	processed_pseudogene
ENSG00000272944.1	chr2	CTD-2308L22.1	1949	antisense
ENSG00000230406.2	chr2	AC079834.1	421	processed_pseudogene
ENSG00000234446.2	chr2	AC068489.1	261	lincRNA
ENSG00000233868.1	chr2	AC009302.2	390	processed_pseudogene
ENSG00000226666.1	chr2	HSPA9P1	2029	processed_pseudogene
ENSG00000226331.1	chr2	AC009302.4	470	processed_pseudogene
ENSG00000135903.17	chr2	PAX3	4633	protein_coding
ENSG00000163081.2	chr2	CCDC140	1932	protein_coding
ENSG00000267034.1	chr2	RP11-384O8.1	1412	lincRNA
ENSG00000237732.8	chr2	AC010980.2	2567	transcribed_unprocessed_pseudogene
ENSG00000200822.1	chr2	Y_RNA	111	misc_RNA
ENSG00000163082.9	chr2	SGPP2	3336	protein_coding
ENSG00000228670.4	chr2	NANOGP2	727	processed_pseudogene
ENSG00000202016.1	chr2	RNU6-619P	108	snRNA
ENSG00000234285.1	chr2	GAPDHP49	961	processed_pseudogene
ENSG00000261428.2	chr2	RP11-16P6.1	2821	antisense
ENSG00000116120.9	chr2	FARSB	3369	protein_coding
ENSG00000124003.12	chr2	MOGAT1	1048	protein_coding
ENSG00000233751.1	chr2	AC104772.1	613	processed_pseudogene
ENSG00000203531.3	chr2	AC016712.1	862	processed_pseudogene
ENSG00000235225.1	chr2	AC016712.2	378	processed_pseudogene
ENSG00000264133.3	chr2	AC016712.3	88	miRNA
ENSG00000123983.12	chr2	ACSL3	7240	protein_coding
ENSG00000224121.1	chr2	ATG12P2	416	processed_pseudogene
ENSG00000234193.1	chr2	AC097461.4	537	antisense
ENSG00000265621.1	chr2	AC013476.1	90	miRNA
ENSG00000278083.1	chr2	RP11-525G12.1	459	processed_pseudogene
ENSG00000152049.6	chr2	KCNE4	4124	protein_coding
ENSG00000243125.3	chr2	RN7SL807P	297	misc_RNA
ENSG00000233299.1	chr2	HIGD1AP4	280	processed_pseudogene
ENSG00000281033.1	chr2	AC013448.3	138	miRNA
ENSG00000231189.1	chr2	AC013448.1	808	lincRNA
ENSG00000235610.1	chr2	AC013448.2	787	lincRNA
ENSG00000171951.4	chr2	SCG2	2719	protein_coding
ENSG00000226539.1	chr2	AC012512.1	718	processed_pseudogene
ENSG00000152056.15	chr2	AP1S3	4284	protein_coding
ENSG00000085449.13	chr2	WDFY1	5516	protein_coding
ENSG00000281046.1	chr2	Metazoa_SRP	272	misc_RNA
ENSG00000135900.3	chr2	MRPL44	1748	protein_coding
ENSG00000228802.1	chr2	AC073641.2	429	antisense
ENSG00000135919.11	chr2	SERPINE2	8891	protein_coding
ENSG00000224826.1	chr2	AC019109.1	1874	processed_pseudogene
ENSG00000211987.2	chr2	AC104802.1	95	miRNA
ENSG00000228681.1	chr2	AC008072.1	824	processed_pseudogene
ENSG00000124019.9	chr2	FAM124B	3541	protein_coding
ENSG00000274629.1	chr2	RP11-92F20.1	1016	antisense
ENSG00000036257.11	chr2	CUL3	11505	protein_coding
ENSG00000228446.2	chr2	AC073052.1	714	processed_pseudogene
ENSG00000135905.17	chr2	DOCK10	11065	protein_coding
ENSG00000263828.1	chr2	MIR4439	80	miRNA
ENSG00000232784.1	chr2	AC067961.1	574	lincRNA
ENSG00000144460.11	chr2	NYAP2	4828	protein_coding
ENSG00000228206.2	chr2	AC016717.1	286	processed_pseudogene
ENSG00000273301.1	chr2	RP11-314B1.2	5141	lincRNA
ENSG00000279015.1	chr2	RP11-314B1.1	554	TEC
ENSG00000230621.1	chr2	AC080002.1	217	processed_pseudogene
ENSG00000235070.3	chr2	AC068138.1	1134	lincRNA
ENSG00000263363.1	chr2	MIR5702	84	miRNA
